s1	Individuell beskattning av arbetsinkomster
s926	Varje månad har vi utgifter för kött , fisk , mjölk , öl , tobak , kläder , möbler , hyra , läkarvård osv .
s936	Konsumentprisindex skall visa prisförändringar på jämförbara varor vid oförändrad kvalitet .
s946	Förr ingick bland representantvarorna i Kpi varor som fårstek , bruna bönor , rågmjöl , herrtrenchcoat och tvättbräde .
s956	Kpi berättar för oss hur mycket dyrare det har blivit att leva .
s966	Vi får också nya femkronorsmynt .
s976	En limpa för 2:57
s986	Men det är endast slutsumman på kassakvittot som ska avrundas .
s996	Hur mycket skall du betala ?
s1006	Köerna vid kassorna blir mindre .
s1016	Statens pris- och kartellnämnd följer prisutvecklingen noga .
s1026	En frusen eller medvetslös person kan inte simma .
s1036	En person med västen på flyter i bakåtlutat läge med mun och näsa betryggande över vattenytan .
s1046	De flesta flytvästar i handeln är orangefärgade .
s1056	Förvaras västen på riktigt sätt ?
s1066	Motsvaras de stora prisskillnaderna av en lika stor skillnad i kvalitet ?
s1076	Det går knappast att göra en cellplast så mjuk och smidig som luftkudde med inlagd skumplast .
s1086	Bilar kan byggas mer eller mindre säkra .
s1096	En del bilmodeller kommer att visa sig bättre än andra från säkerhetssynpunkt .
s1106	Den kollektiva trafikservicen försämras .
s1116	Och hälften av landets hushåll saknar bil .
s1126	De här trafikolyckorna kan minskas om
s1136	I trafiksystemet använder bilister , cyklister och fotgängare ofta samma utrymme .
s1146	Vilka resmöjligheter har du när du skall till och från jobbet / skolan ?
s1156	Man måste köra på cykelbana om sådan finns .
s1166	På en motortrafikled kan du alltså möta andra motorfordon på samma körbana .
s1176	Vad vet du om vägmarkeringar ?
s1186	Mittlinje kan också användas för uppdelning i två eller flera körfält för färd i samma riktning .
s1196	Kör aldrig med sprit i kroppen - även en enda mellanöl ger påverkan .
s1207	Röstkortet bör tas med vid röstning i vallokal och måste tas med vid röstning på postanstalt , hos utlandsmyndighet och på fartyg .
s1217	Var finns valsedlar ?
s1230	Röstning i vallokalen den 20 september
s1241	Om du inte har med dig valsedlar finns de i allmänhet vid vallokalen .
s1251	Europas äldsta författning moderniseras
s1261	Efter omfattande utredningar och överläggningar mellan de fyra stora riksdagspartierna beslutade riksdagen om vissa delreformer som ska träda i kraft den 1 januari 1971 .
s1272	Vid landstings- och kommunval finns dock bostadsbandet kvar .
s1282	Vi har idag i Storstockholm 620000 lägenheter .
s1292	Detta område är geografiskt detsamma som regionplaneområdet ( och landstingsområdet ) .
s1302	Den här antagna ökningen ligger mellan de lägsta och högsta siffrorna i de prognoser som finns .
s1312	Så här föreslås lägenheterna bli fördelade
s1322	År 1970 hade ungefär 700000 förvärvsarbete i vår region .
s1332	Att få ett barn är en stor upplevelse och glädje och medför en genomgripande förändring av vårt liv .
s1342	Alla föräldrar funderar över hur det skall gå för deras barn i livet och vilka möjligheter det har inom sig .
s1352	Men , även om tiden man kan vara tillsammans med barnet är kort , kan man ge det vad det behöver av trygg och varm moderskontakt .
s1362	En del barn är tidiga och andra sena , skillnaderna brukar jämna ut sig på längre sikt .
s1372	Det övar kryprörelser och lär sig rulla över på rygg .
s1382	De undersöker allt de kommer åt och nu börjar en tid när man måste plocka undan allt som kan gå sönder eller skada dem .
s1392	Det är så mycket som händer under barnets första år , då det förvandlas från en helt beroende varelse till en liten personlighet redo att ta sin omvärld i besittning .
s1402	Det är inte alltid lätt att få lugn omkring sig om man har flera småbarn i familjen - som kanske dessutom känner sig avundsjuka på den minste som får ha mamma alldeles för sig själv , men om matningen kan ordnas som en skön stund utan jäkt och brådska är det bäst för både mor och barn .
s1412	Har barnet napp bör man se till , att den är hel och av en säker modell , som inte kan glida ner i halsen .
s1422	Att trösta barn när de är ledsna är inte att skämma bort dem .
s1432	Dessutom frigörs några små partiklar , som kallas neutroner .
s1442	För detta ändamål används särskilda s k kontrollstavar , som placeras i reaktorn bland bränslestavarna , dvs de rör av speciallegering , som innehåller små cylindrar eller s k kutsar av sintrad urandioxid , där det klyvbara U235 ingår .
s1452	Vi undersöker och planerar
s1462	Detta behandlas av en särskild utredning .
s1472	För drift av det första aggregatet erfordras ca 80 man .
s1482	Totala kostnaden för en kraftstation utbyggd med fyra aggregat blir således ca 2 miljarder kronor .
s1492	Stadsplan för industriområdet .
s1502	Forsmarks bruksidyll berörs inte av kraftbygget .
s1512	Eller några synpunkter och förslag att komma med ?
s1522	Nya arbeten kommer till och gamla försvinner .
s1532	Man kan ofta börja när som helst och utbildningen sker ibland i etapper .
s1542	Hyresbidrag till hela kostnaden för fast bostad i hemorten och - om utbildningen sker på annan ort - bidrag med 150 - 200 kr / mån för merkostnaden .
s1552	Man behöver alltså inte vara arbetslös eller riskera att bli det för att få deltaga .
s1562	En flyttning till en ort med behov av arbetskraft medför ökad trygghet och ökade valmöjligheter för hela familjen .
s1572	Bortavistelsebidrag under den tid då familjen måste leva på två håll :
s1582	Ansökan
s1592	Ekonomisk hjälp kan utgå från arbetslöshetsförsäkringe .
s1602	Bidraget - högst 800 kr / mån. - är skattepliktigt och storleken beror på inkomsten före arbetslösheten .
s1612	Månadslön utgår efter ett stort antal lönegrupper .
s1622	När man söker jobb vill man ha så stora valmöjligheter som möjligt .
s1632	Ska man på hemorten söka ett liknande arbete som det man har vana från , nöjer man sig i regel med upplysningar om lön och arbetsförhållanden .
s1642	Företagets storlek och produktion
s1652	Ibland räcker det inte med platslistor
s1662	Den tillhandahåller också en omfattande information om läget på arbetsmarknaden inom olika branscher och inom olika delar av landet erbjuder dig yrkesvägledning vid valet av yrke och utbildningsväg och hjälper dig att kartlägga dina förutsättningar för olika arbetsuppgifter hjälper dig genom arbetsvård att minska eller undanröja det hinder som ett handikapp kan vara för dig på arbetsmarknaden och försöker finna ett lämpligt arbete på öppna marknaden eller erbjuda andra arbetsmöjligheter .
s1672	Det är förlorarnas gäng som efter andra världskriget gick på kryckor : 1 Västtyskland 2 Frankrike 3 Italien 4 Belgien 5 Holland 6 Luxemburg
s1682	Alla vaktar på varandra .
s1692	Detta är EEC:s maktpyramid
s1702	Ständiga representanternas kommitte :
s1712	Sexstatsparlamentet :
s1722	Efter hand har också kommissionen i huvudsak reducerats till ett utredande organ men är fortfarande ett förslagsställande och verkställande organ .
s1732	Resten är tjänstemän från respektive medlemsländer , som åker fram och tillbaka mellan sina respektive huvudstäder och EEC-högkvarteret i Bryssel .
s1742	Som EEC ser ut i dag har de tre stora , Västtyskland , Frankrike och Italien 4 röster vardera .
s1752	För kvalificerad majoritet fordras 43 röster av 61 .
s1762	Hur EEC finansieras i dag kan vi hoppa över .
s1772	Det verkligt intressanta är egentligen inte heller det EEC som existerar i dag utan det EEC som vi kommer att få om Storbritannien , Irland , Norge , Danmark och därmed Sverige kommer med .
s1782	Nato : North Atlantic Treaty Organization ( Atlantpakten ) .
s1792	I USA var den samma tid 78 proc .
s1802	Det hotas av 1) USA , 2) Sovjet och 3) Japan .
s1812	Till detta kommer ett 100-tal kommitteer - t. ex. kommitten för tomatpriser , fläskpriser , preventivmedel etc - var och en med 10 - 15 medlemmar , varav ett par från kommissionen , resten är folk som reser fram och tillbaka mellan Bryssel och sina respektive hemländers huvudstäder
s1822	Numera kan den enkla ansökan skickas med posten .
s1832	Kyrkoskattens höjd bestäms av kyrkofullmäktige .
s1842	Kyrkans tro
s1852	Statskyrkan i nuvarande form försvinner kanske i framtiden .
s1862	Det tar bara ett par timmar och kostar inte särskilt mycket .
s1872	Efter 100 timmar har glödlamporna tappat halva effekten !
s1882	Normalt ska det vara cirka 100 dubbar per hjul .
s1892	Annars lossnar dubbarna snabbt och effekten minskar .
s1902	Byt vindrutetorkarblad .
s1912	Dörrlister - lås :
s1922	Inte sprayflaska - ta pensel och rostskydd på burk .
s1932	Du kommer inte att bli så irriterad att du blir trafikfarlig eftersom du kommer igång på mornarna .
s1942	När bilen är ren under - kontrollera att allt ' sitter fast ' , att avgasröret är helt , att ingenting hänger och slänger .
s1952	Folkökningen går bara fortare och fortare .
s1962	Våra miljövårdsproblem av i dag kommer att framstå som idylliska .
s1972	' Måste vi kräva bevis om en katastrof innan vi gör något ? '
s1982	Det enda man kan säga med säkerhet är att u-länderna blir utestängda från en sådan värld och att klyftan mellan fattiga och rika bara blir större och större .
s1992	Urbaniseringen leder till en förslummning av en omfattning som världen hittills aldrig har skådat .
s2002	Stadsbefolkningen har alltså ökat från 7 till 90 miljoner på 40 år .
s2012	Folk tvättar både kläder och sig själva i förorenat vatten .
s2022	Blodkräfta
s2032	Andelen stadsbor i procent
s2042	När det första borrtornet rests - någonstans i triangeln Malmö - Falsterbo - Ystad - börjar miljonrullningen på allvar i jakten på svensk olja .
s2052	600 markägare har chansen
s2062	Få markägare får så att säga mer än en enda chans .
s2072	Jerome Bayless har borrat i åtskilliga delar av världen .
s2082	Där oljeförekomster finns råder ett högt tryck , men för att inte oljan skall spruta rätt upp i luften regleras trycket med spolvätska och en serie olika ventiler .
s2092	10000-tals svenskar har obotliga hörfel .
s2102	Sveriges främste expert på området , docenten Ingmar H:son Klockhoff , vid Uppsala akademiska sjukhus , säger till Expressen :
s2112	En soldat kan bli obotligt hörselskadad redan vid sin första skjutning .
s2122	Under sjukvårdsstyrelsen sorterar försvarets materielbyrå .
s2132	På I>12 i Eksjö tog en kompanichef för ett pansarvärnskompani saken i egna händer .
s2142	Framtiden är snabbkontroll av hörseln och registrering av defekter och uppfattningsförmåga via data .
s2152	Vapnen förekommer numera på alla förband inom armen .
s2162	Dr Horn är chef för National Clearinghouse for Smoking and Health , det amerikanska hälsoministeriets specialorgan för tobaksfrågor .
s2172	De insåg att det var lättare att få andra människor att sluta röka om de själva slängde cigaretterna .
s2182	Enligt dr Horn är det en mängd aktioner på gång i USA för att försöka få ner cigarrettkonsumtionen .
s2192	Om ni måste röka
s2202	Skär ner dagskonsumtionen .
s2212	Han försökte med teckenspråk , försökte rita , men han hade C i teckning i skolan .
s2222	' Medicinsk bildtolk ' gör det i en kort bildsvit på ett klarläggande sätt .
s2232	För bildtolkens användning i Skandinavien utnyttjas f. n. sju språk , valda med hänsyn till frekvens av utlänningar i vårt land .
s2242	Men i den gröna delen blir det svårare .
s2252	Kissar man mest när solen eller månen är uppe ?
s2262	Främst löser den nya iden en angelägen humanitär uppgift .
s2272	Men valmaskinleverantören sviktade i sista stund och vi får vänta till nästa val .
s2282	Röstkortet överräcks , en valförrättare slår i röstlängden .
s2292	Visserligen blir hålkortsvalsedlarna något dyrare än de gamla vanliga .
s2302	Valboxen är en liten additionsflink kamrer , den räknar in valsedlarna och vägrar att ta emot kassetter som innehåller två valsedlar , det ska bara vara en i varje .
s2312	Men här får vi slutresultatet litet senare på natten .
s2322	- Allting var klart förra hösten .
s2332	Vad rösterna än ropar i vinden så visar deras mångfald att det är nödvändigt att dra datamaskinens insug ända fram till valbåset .
s2342	Glädjen över att det blir fler borgerliga än socialdemokrater i riksdagen grumlas av att minst 14 , kanske 17 kommunister borgar för fortsatt socialistiskt styre .
s2352	Och det finns flera städer i landsorten som väntar lika spänt på slutresultatet .
s2362	Men en hel del har också vandrat till de borgerliga .
s2372	På valförrättarens bord står valboxen .
s2382	Under veckan uppmärksammas detta i Sveriges skolor .
s2392	U-länderna måste ta en genväg för att komma i fatt .
s2402	Dessutom är det många i u-länderna som slutar skolan efter ett par års dålig undervisning .
s2412	Det beror på att undervisningssystemen övertagits från den forna kolonialmakten och ofta har värderingar från 1800-talet .
s2422	Men det större problemet - folkökningen och bristen på resurser - är mer svårlöst .
s2432	I Sydasien , Mellanöstern och Latinamerika har de flesta länder aldrig försökt genomföra den målsättningen .
s2442	Minst var tredje människa är analfabet , kan varken läsa eller skriva .
s2452	I stora delar av Afrika och Latinamerika slutar mer än varannan elev efter två år .
s2462	4 miljoner bilar
s2472	Den andra stora gruppen som ökar kraftigt är åldern 0 - 14 år .
s2482	Många behov kommer att tävla om den stigande nationalinkomsten .
s2492	Färre i industrin
s2502	70-talet kommer att medföra stora förändringar för alla medborgare - en utveckling på både gott och ont .
s2513	Men minoritetsgruppens problem har börjat uppmärksammas av både medicinare och psykologer .
s2523	Kostnaderna blir små i förhållande till de vinster som kan göras , säger lektor Öqvist .
s2533	Jag finner det underligt att industrin inte visat något intresse för att ta reda på när deras anställda anser sig fungera bäst på dygnet .
s2543	Däremot är de morgonpigga hungriga när de vaknar .
s2553	Psykologerna har hittills när det gällt arbetstider och arbetsplacering byggt upp en idealtyp men glömt bort minoriteter .
s2563	I dag garanterar Folkhälsan och Naturvårdsverket att larmrapporten om gifthalten fått överdrivna proportioner - strömming , lax och ål är helt riskfritt att äta .
s2573	Resultatet av detta fiske visar att södra Östersjön drabbats av oroväckande stora mängder DDT och PCB .
s2583	Och det är en oroande faktor .
s2593	I den första och tredje undersökningen deltog också psykolog Per-erik Almgren .
s2603	En moraliserande inställning till sexuallivet i uppväxtmiljön hör också till de faktorer som kan ge psykiska problem vid en graviditet .
s2613	Kvinnor som inte kan acceptera modersrollen i djupare bemärkelse , som inte kan identifiera sig med sin egen mor eller har en markant starkare identifikation med fadern får oftare svårigheter vid en graviditet .
s2623	- Jag är själv inte särskilt villig att dra långtgående slutsatser ur materialet , säger Åke Nilsson .
s2633	' Vi håller på att spåra ur fullständigt . '
s2643	Arbetskraftsundersöknin en gång i kvartalet - från 1970 en gång i månaden - visar en långsiktig ökning av antalet sjukfrånvarande .
s2653	Första halvåret 1970 visar ett par procent bättre siffror än fjolåret .
s2663	Det ser rätt illa ut - men om man undersöker varje åldersgrupp för sig är det ingen ökning alls , upplyser byrådirektör Birger Rohlin vid SJ .
s2673	Det räcker med en timmes frånvaro eller en för sen ankomst för att 75-kronorspremien skall falla bort .
s2683	Man bjuder med stolthet ut potatis med 0,02 procent bisulfit i okokt produkt .
s2693	Hellre fälla än fria under utredningstiden .
s2703	Nej , både direktör Schmidt och docent Svensson medger att det ofta finns goda skäl att vägra äta den fabriksskalade potatisen , som utgör 40000 ton av en årlig svensk potatisskörd på totalt 570000 ton .
s2713	Men hinnan är oaptitlig , konsistensen ofta sorglig .
s2723	Inte på sjukhus .
s2733	Det är minst lika angeläget att få bort den från juicer , läsk och torkad frukt .
s2743	Björn Gillberg å sin sida hade exempel på hur välgrundade varningsskrivelser ( om cyklamat , kvicksilver ) i åratal fått ligga obeaktade av myndigheterna .
s2753	En del försök att beräkna väntade hyreshöjningar ingår i det material som följer med ett förslag i dag från Statens hyresråd att slopa hyresregleringen i Sverige från den 1 januari 1972 .
s2763	Största hyreshöjningen ( femdubbling ) drabbade city , där den kända utställningslokalen ' Den permanente ' fick hyran höjd från 470000 till 1,2 milj kr om året .
s2773	Hyresgästföreningen var besviken därför att de stegrade hyrorna i de äldre husen inte medförde någon sänkning av hyran i de nybyggda .
s2783	De fattiga som bäst behöver lagen i kampen mot ogina hyresvärdar känner ofta inte ens till att lagen existerar .
s2793	Med kommunens tillstånd och gillande ( ! ) har de sedan rustat upp husen och öppnat dem för några av Englands 100000-tals hemlösa .
s2803	Det rör sig alltså om fall där orsaken till patientens symtom inte primärt är åderförkalkning utan i stället beror på en sannolik störning i cirkulationen av den vätska som omger hjärnan .
s2813	' Väck inget hopp om det . '
s2823	Genom den utrustning som finns på röntgendiagnostiska avdelningen vid lasarettet i Lund , en s k gammakamera , finns nu möjligheter att studera dessa cirkulationsförhållanden .
s2833	Det innebär alltså att man motsvarande det ' skadade ' området får en ökad strålning i jämförelse med den omkringliggande vävnaden och att denna skillnad mellan abnorm och normal vävnad kan iakttagas med hjälp av gammakameran .
s2843	Försiktig beräkning visar att en besparing på 75000 kronor , ungefär 300 vårddagar hade kunnat sparas redan under gammakamerans första användningsår .
s2853	Det skulle kunna återföra många patienter till ett normalt liv
s2863	Visserligen har eleverna på de praktiska linjerna varit frånvarande mer än sina kamrater , sade Bengt Silfverberg .
s2873	I Bromma gymnasium ökade frånvaron med 40 proc. från vårterminen 1968 till vårterminen 1969 .
s2883	Orsakerna är komplexa .
s2893	Alla elever passar inte in i ämneslärarsystemet på högstadiet , konstaterade skolsköterskan Ingrid Gunneson i Göteborg .
s2903	För en statistiskt utvald grupp män och kvinnor visades en samlagsfilm i färg med tre agerande , pornografitidningar delades ut och slutligen lästes en novell upp .
s2913	I dag klockan halv tre på eftermiddagen läste nye handelsministern Kjell-Olof Feldt upp Sveriges förhandlingsutspel för EEC:s ministerråd .
s2923	Innertrio under Feldt
s2933	När innertrions första jobb är klart ska EEC-tjänstemännen skriva en rapport till politikerna i Ministerrådet .
s2943	Den nordiska samordningen har redan gått så långt på dessa områden att det anses nödvändigt .
s2953	I viktigare frågor kommer den att arbeta på statssekreterarnivå .
s2963	För Sverige betyder det tullfrihet för tre fjärdedelar av exporten , men mycket små nackdelar i höjda råvarutullar .
s2973	Sveriges önskan att medverka i ekonomiskt samarbete utan formella bindningar tillfredsställes bäst i en tullunion , anser EEC-byråkratin .
s2983	Alla grupper får det de vill ha :
s2993	Men från jordbrukets organisationer har man försäkrat att jordbruket inte skulle komma att fälla en sådan uppgörelse för Sveriges del .
s3003	Ånnu återstår den s k C14-undersökningen , genom vilken man definitivt skall datera fynden , men redan nu är man på riksantikvarieämbetet på det klara med att man gjort ett strålande kap .
s3013	I kvinnans mun har man påträffat hallonfrön .
s3023	Det har hittills varit en besvärlig höst för bilister som vill säkert .
s3033	Annars blir slitaget på tok för stort både på dubbar och vägar .
s3043	Dubbarna tränger därigenom ned i is och hård snö .
s3053	Utvecklingen har gått mot allt bredare däck på bilarna .
s3063	På ett smalt däck blir yttrycket större och därmed också väggreppet .
s3073	Toaletter ombord på nöjesbåten har blivit ett naturvårdsproblem .
s3083	Plomberas
s3093	Som det nu är ser det inte vidare trevligt ut med toalettpapper och avföringshögar vid stränderna till de populära ankringsvikarna i skärgårdarna .
s3103	Eftersom man har 400 medlemmar i klubben blev utdebiteringen per medlem inte hög .
s3113	Flaskhalsarna vid S:t Eriksgatan och Fridhemsplan försvinner .
s3123	Bilisterna måste ta av vid Ågestavägen .
s3134	I radio och teve , på kurser och föräldramöten får skolbarnens pappor och mammor lära sig mängdlära , statistik , funktioner , sannolikhetsberäkningar o s v .
s3144	Ett annat viktigt namn bakom de nya metoderna är Jean Piaget , en världsberömd schweizisk forskare och psykolog , som har studerat begreppsbildningen hos barn - till exempel av matematiska begrepp som antal , kvantitel , mängd , rum , tid och hastighel .
s3154	De nordiska deltagarna fattade där ett beslut om regionalt samarbete , som så småningom resulterade i Nordiska kommitten för modernisering av matematikundervisningen med bland andra lektor Hemer som ledamot .
s3164	Jo , man är på väg mot en reform jämförbar med vår , men inget nytt begrepp införs i sovjetmatten innan varenda lärare är grundligt beredd .
s3174	Därför att vi har ett brett förankrat undervisningsväsende .
s3184	Genom en intensiv tillämpning av de laborativa metoderna har man i experimentskolor på olika håll i världen kunnat lära helt vanliga ungar att lösa matteproblem av en svårighetsgrad som annars hör hemma på avancerad akademisk nivå .
s3194	Just det .
s3204	Men det är viktigt att de får leksaker och lekmaterial , som passar just för deras ålder och utvecklingsskede .
s3214	En bra böjan , men mycket mer behövs .
s3224	Lekcirkeln är uppdelad i fem sektorer i var sin glad färg .
s3234	Och liksom vi i vår kost behöver något från varje bit av kostcirkeln för att må bra , så behöver barnen något från varje del av lekcirkeln för sin lek för att den ska bidra till deras utveckling .
s3244	Många bra leksaker kan också hänga med i flera år ( tänk bara på en mjuk , älskad nalle ) .
s3254	Det var 6-åringarna , som står på gränsen mellan småbarns- och skolbarnsåldern .
s3264	Kan en hund se vad ett fotografi föreställer ?
s3274	Till skillnad mot t. ex. aporna .
s3284	Och inte minst sällskapshunden .
s3294	Hur klok är egentligen en hund ?
s3304	De flesta hundar kan känna igen människor på avstånd som varierar mellan 30 och 180 meter .
s3314	Hunden glömmer inte
s3324	Doc. Bergman påpekade att det möjligen finns en lägre intelligens hos hunden .
s3334	Och vad gör det egentligen oss hundägare om intelligensen är klokhet som kommer genom erfarenhet ?
s3344	Överhuvudtaget är människans psyke med sin sammansatthet och känslighet utsatt för många slags påfrestningar , och psykiska besvär är också mycket vanliga .
s3354	De vande sig vid att mat sattes fram när klockan ringde .
s3364	Olika människor har olika lätt att utstå sådana .
